url,page_title,section,content_type,question,answer,raw_text,links_on_page
https://www.ntc.net.np/faq,FAQ - Nepal Telecom,Balance Check,faq,How do I check my NTC balance? How to check Nepal Telecom balance?,GSM Namaste prepaid balance: Dial *400# and press Call. Or open the NT App → Balance Inquiry. CDMA Skyphone balance: Dial *1# and press Call. PSTN landline balance: Call 1498 (customer care). FTTH internet balance/usage: Log in to ntc.net.np self-care account or call 1498.,,
https://www.ntc.net.np/recharge,Recharge - Nepal Telecom,Recharge,faq,How do I recharge my NTC number? What are the ways to recharge Nepal Telecom?,"Methods to recharge your NTC number: 1) Online recharge: visit ntc.net.np/recharge, enter your number and pay via debit/credit card or mobile banking. 2) NT App: download the Nepal Telecom app, log in, tap 'Recharge', enter amount and pay. 3) Scratch card: buy a recharge card from any NTC dealer, scratch to reveal PIN, dial *400*<PIN># and press Call. 4) MPoS (Pinless Top-Up): available at NTC-authorised retail agents — give your number and amount. 5) SMS: send PIN to 1415. 6) Mobile banking / e-wallets: Khalti, eSewa, IME Pay, bank apps support NTC recharge. Recharge is available for GSM Namaste, CDMA Skyphone, PSTN, and FTTH services.",,
https://www.ntc.net.np/faq,FAQ - Nepal Telecom,SIM Registration,faq,How do I get a new NTC SIM card? What documents are required for NTC SIM?,"To get a new Nepal Telecom SIM card: Visit any NTC office or authorised dealer. Documents required: Citizenship certificate (Nepali citizens) OR passport (foreigners). One passport-size photo. Fill the SIM subscription form. SIM cost: approximately Rs. 99–200 (prepaid starter pack includes some balance). Postpaid SIM: requires citizenship/passport, additional security deposit may apply. SIM replacement (lost/damaged): visit NTC office with ID — fee approximately Rs. 100.",,
https://www.ntc.net.np/faq,FAQ - Nepal Telecom,SMS Services,faq,What are NTC SMS packages? How to send SMS with Nepal Telecom?,"Nepal Telecom SMS packages: On-net SMS: Rs. 0.30–0.50 per SMS (NTC to NTC). Off-net SMS: Rs. 1.00 per SMS (NTC to other networks). International SMS: Rs. 5.00 per SMS. SMS packs: 100 on-net SMS – Rs. 9 (7 days), 500 on-net SMS – Rs. 29 (30 days). Combo packs include SMS bundles with voice and data. Subscribe via *1415# or NT App.",,
https://www.ntc.net.np/category/fixed-line,Fixed Line - Nepal Telecom,PSTN Fixed Line,faq,What is PSTN fixed line service of Nepal Telecom? How to get a landline from NTC?,"Nepal Telecom provides PSTN (Public Switched Telephone Network) fixed landline services. Features: voice calls, caller ID, call waiting, call forwarding, conference calls. To get a landline: visit the nearest NTC office, fill the application form, submit citizenship and property documents, pay installation fee. PSTN local call rates: metered billing per minute. PSTN also supports ADSL broadband internet on the same line. Customer care for PSTN: 1498.",,
https://www.ntc.net.np/services/adsl-service,ADSL Service - Nepal Telecom,ADSL Broadband,faq,What is ADSL internet service from Nepal Telecom? What are ADSL packages?,"ADSL (Asymmetric Digital Subscriber Line) is a broadband internet service from Nepal Telecom delivered over existing telephone lines. Speeds: up to 8 Mbps download, 1 Mbps upload (depending on distance from exchange). Packages: various monthly packages from 512 Kbps to 8 Mbps with data limits. Suitable for: homes and small businesses without FTTH fibre availability. Requires: existing PSTN telephone connection. ADSL is gradually being replaced by FTTH (fibre) in most urban areas.",,
https://www.ntc.net.np/services/fiber-to-the-home-ftth,FTTH - Nepal Telecom,FTTH Fibre Internet,faq,What is FTTH internet from Nepal Telecom? How do I get NTC fibre internet?,"FTTH (Fiber to the Home) is Nepal Telecom's high-speed fibre optic internet service. Speeds range from 25 Mbps to 1 Gbps. Available in Kathmandu Valley and expanding to other cities. To get FTTH: visit ntc.net.np or call 1498, fill the application, NTC installs fibre cable to your home. Packages include individual (home) and corporate (business) plans. Some FTTH packages include NTTV (cable TV) and telephone (VoIP) in combo plans. Installation fee applies; monthly rental based on speed and data quota.",,
https://www.ntc.net.np/tariff/ftth-tariff,FTTH Tariff - Nepal Telecom,FTTH Packages,table,What are the FTTH internet packages and prices of Nepal Telecom? What is the cost of NTC fibre?,"Nepal Telecom FTTH Individual Packages (monthly, approximate — verify at ntc.net.np/tariff/ftth-tariff): 25 Mbps / 60 GB FUP — Rs. 1,000/month. 40 Mbps / 100 GB FUP — Rs. 1,300/month. 60 Mbps / 150 GB FUP — Rs. 1,600/month. 100 Mbps / 200 GB FUP — Rs. 2,000/month. 200 Mbps / 300 GB FUP — Rs. 3,000/month. After FUP (Fair Usage Policy) limit, speed reduces to 2–5 Mbps. xGPON ultra-fast packages available up to 1 Gbps for premium users. Combo packages add NTTV channels + telephone service. Yearly packages offer discounts over monthly billing.",,
https://esim.ntc.net.np,eSIM - Nepal Telecom,eSIM,faq,What is eSIM? How do I get Nepal Telecom eSIM? What devices support NTC eSIM?,"eSIM (Embedded SIM) is a digital SIM built into your phone — no physical SIM card needed. Nepal Telecom launched eSIM in 2022. How to get NTC eSIM: 1) Visit esim.ntc.net.np and log in with your NTC self-care account. 2) Select your mobile number and request eSIM. 3) A QR code is generated — scan it on your phone under Settings > Mobile Data > Add eSIM. 4) Alternatively, visit an NTC office and request eSIM activation in person. Compatible devices include: iPhone XS and later, iPhone SE (2nd gen+), Google Pixel 3 and later, Samsung Galaxy S20 and later, and other eSIM-capable handsets. eSIM works on the same NTC Namaste number — no number change needed. Benefits: no physical SIM to lose, switch between two numbers on one phone (dual SIM).",,
https://www.ntc.net.np/post/vowifi,VoWiFi - Nepal Telecom,VoWiFi,faq,What is VoWiFi? How do I activate VoWiFi on Nepal Telecom? What is WiFi calling NTC?,"VoWiFi (Voice over WiFi) allows you to make and receive calls over a WiFi network instead of the cellular signal. Useful in areas with weak NTC mobile coverage (basements, remote areas, buildings with poor signal). Requirements: 4G-enabled NTC SIM, VoWiFi-compatible smartphone, active WiFi connection. To activate: go to phone Settings → Mobile Network (or SIM settings) → WiFi Calling → Enable. No extra charge — calls billed at standard NTC rates. Compatible phones: iPhone 6 and later, Samsung Galaxy S6 and later, most modern Android phones. Works on any WiFi network (home, office, public WiFi). NTC VoWiFi launched in 2021.",,
https://www.ntc.net.np/services/4g-lte-network,4G LTE - Nepal Telecom,VoLTE,faq,What is VoLTE in Nepal Telecom? Does NTC support VoLTE?,"VoLTE (Voice over LTE) allows HD quality voice calls over Nepal Telecom's 4G network. Advantages over regular calls: clearer voice quality, faster call connection, ability to use 4G data during a call simultaneously. Requirements: 4G SIM, VoLTE-supported smartphone, 4G coverage area. Activation: VoLTE activates automatically on supported devices when 4G is enabled — no separate subscription needed. Compatible devices: iPhone 6 and later, most flagship Android phones from 2016 onwards.",,
https://www.ntc.net.np/services/international-roaming,International Roaming - Nepal Telecom,International Roaming,faq,How do I activate international roaming on Nepal Telecom? What is NTC roaming?,"Nepal Telecom provides international roaming on Namaste (GSM) prepaid and postpaid. To activate roaming: Prepaid: visit any NTC office, fill roaming activation form, deposit roaming security amount. Postpaid: call 1498 or visit NTC office to activate. Roaming is supported in 100+ countries through partner networks. Roaming charges vary by country — voice, SMS, and data rates apply. To avoid high data charges abroad: disable mobile data or use roaming data packs. To deactivate roaming: call 1498 or visit NTC office after returning. International calling codes: NTC Access Code 1424 (economy), 1425, 1445 for cheaper international calls.",,
https://www.ntc.net.np/category/vas,VAS - Nepal Telecom,Value Added Services,faq,What are the value-added services (VAS) of Nepal Telecom?,"Nepal Telecom Value-Added Services (VAS) include: 1) Hello Tune / Ring Back Tone — set a song instead of a normal ring. 2) Missed Call Alert — get notified of missed calls when phone was off. 3) Voicemail — callers can leave a voice message. 4) SMS Alert — receive balance, usage, and recharge alerts via SMS. 5) Audio Notice Board — listen to NTC notices by calling a short code. 6) TikTok Pack — discounted data specifically for TikTok usage. 7) Group SMS / Bulk SMS — for businesses to send bulk messages. 8) NTTV — Nepal Telecom's cable/IPTV television service. 9) NT Mail — email service at webmail.ntc.net.np. 10) Easy Phone (EasyVoIP) — internet-based calling service.",,
https://www.ntc.net.np/post/tiktok-pack,TikTok Pack - Nepal Telecom,TikTok Pack,faq,What is the TikTok pack of Nepal Telecom? How do I subscribe to NTC TikTok pack?,"Nepal Telecom offers a special TikTok data pack for GSM subscribers who use TikTok. The TikTok pack provides data that works specifically for the TikTok app at a lower cost than regular data packs. To subscribe: Dial *1415# and select TikTok Pack option, or use the NT App. Packages: Daily and weekly TikTok packs available. Note: TikTok pack data can only be used within the TikTok app.",,
https://www.ntc.net.np/post/audio-notice-board-service,Audio Notice Board - Nepal Telecom,Audio Notice Board,faq,What is the Audio Notice Board service of Nepal Telecom?,"Audio Notice Board is a VAS service from Nepal Telecom that allows customers to listen to important NTC notices and announcements via a phone call. Customers can subscribe to receive audio notices about new services, tariff changes, promotions, and other important updates. To subscribe: Call or SMS the designated short code for Audio Notice Board service. Available to all NTC GSM subscribers.",,
https://www.ntc.net.np/user/register,Self Care - Nepal Telecom,Self Care Account,faq,How do I register for Nepal Telecom self-care account? What can I do on NTC self-care portal?,"Nepal Telecom Self-Care portal is at ntc.net.np. To register: visit ntc.net.np/user/register, enter your NTC mobile number, verify via OTP sent to your number, set a password. Self-care features: check balance and usage history, subscribe/unsubscribe data packs and VAS, view and pay bills, manage eSIM, recharge, update personal details, access gift packages, generate usage reports. The NT App (Nepal Telecom App) provides the same features on Android and iOS smartphones.",,
https://www.ntc.net.np/,NT App - Nepal Telecom,NT App,faq,What is the NT App of Nepal Telecom? How do I download the NT App?,"The NT App is Nepal Telecom's official mobile application. Download: Search 'NT App' or 'Nepal Telecom' on Google Play Store (Android) or Apple App Store (iOS). Features of NT App: Balance inquiry and usage history, data pack and VAS subscription/unsubscription, online recharge for self or others, gift package (send data or balance to another NTC user), bill payment, eSIM management, FTTH package management, customer support and feedback.",,
https://www.ntc.net.np/services/nttv,NTTV - Nepal Telecom,NTTV Cable TV,faq,What is NTTV? Does Nepal Telecom provide TV service?,"NTTV is Nepal Telecom's IPTV (Internet Protocol Television) and cable TV service. It provides television channels bundled with FTTH internet service. NTTV offers Nepali, Indian, and international channels. It is available as part of FTTH combo packages (internet + TV + telephone). Separate NTTV set-top boxes are provided. Available in areas with NTC FTTH coverage.",,
https://www.ntc.net.np/category/fixed-line,CDMA Skyphone - Nepal Telecom,CDMA Skyphone,faq,What is CDMA Skyphone service of Nepal Telecom?,"Skyphone is Nepal Telecom's CDMA (Code Division Multiple Access) mobile service. It uses a different technology from GSM and operates at 800 MHz frequency. Skyphone is primarily used in areas where GSM coverage is limited. Features: voice calls, SMS, limited data (2G). Balance check: dial *1# and press Call. Note: CDMA services are being gradually phased out as 4G GSM coverage expands. Skyphone SIM cards work only with CDMA-compatible handsets.",,
https://www.ntc.net.np/services/4g-lte-network,Network Coverage - Nepal Telecom,Network Coverage,faq,What is the network coverage of Nepal Telecom? Where does NTC have coverage?,"Nepal Telecom has the widest network coverage in Nepal: 2G (GSM) coverage: over 90% of the population and most districts including rural areas. 3G coverage: major cities, highways, and many district headquarters. 4G LTE coverage: Kathmandu Valley, major cities (Pokhara, Biratnagar, Birgunj, Butwal, Dharan, Hetauda, Narayanghat, and more), and expanding. FTTH fibre: Kathmandu Valley and selected urban areas, expanding. NTC has over 9,000 base stations (BTS) across Nepal. Mountain coverage: NTC has coverage at Everest Base Camp and high-altitude areas. Coverage map: available at ntc.net.np.",,
https://www.ntc.net.np/nt-4g-lte-bands,4G LTE Bands - Nepal Telecom,4G LTE Bands,faq,What 4G LTE bands does Nepal Telecom use? Which bands does NTC 4G operate on?,"Nepal Telecom 4G LTE operates on: Band 3 (1800 MHz) — primary 4G band, wide coverage. Band 8 (900 MHz) — better indoor and rural coverage, slower speed. Band 40 (2300 MHz) — higher speed in dense urban areas (TDD-LTE). Your phone must support at least one of these bands for NTC 4G connectivity. Most smartphones sold in Nepal support Band 3 and Band 8. Check band compatibility at ntc.net.np/nt-4g-lte-bands.",,
https://gsmbl.ntc.net.np,Online Bill - Nepal Telecom,Online Bill Payment,faq,How do I pay my NTC bill online? How to pay Nepal Telecom bill?,"Nepal Telecom online bill payment options: 1) NTC website: visit gsmbl.ntc.net.np for GSM, PSTN, CDMA, and leased line bills. 2) NT App: log in and go to Bill Payment section. 3) Mobile banking: all major Nepali banks support NTC bill payment. 4) E-wallets: eSewa, Khalti, IME Pay, ConnectIPS support NTC payments. 5) NTC office: pay in cash at any NTC service centre. Postpaid bill due date: usually the 15th or 25th of each month (check your bill). Late payment may result in service suspension.",,
https://www.ntc.net.np/fixed-line-enquiry,PSTN Enquiry - Nepal Telecom,PSTN Number Enquiry,faq,How do I find a PSTN landline number in Nepal? What is NTC number enquiry?,Nepal Telecom provides a PSTN (landline) number enquiry service. To look up a landline number: visit ntc.net.np/fixed-line-enquiry and enter the subscriber name or area. You can also call 197 (directory enquiry service) from any NTC phone. This service helps find PSTN telephone numbers registered with Nepal Telecom.,,
https://www.ntc.net.np/about-us/departments,Departments - Nepal Telecom,Departments,faq,What are the departments of Nepal Telecom? How is Nepal Telecom organised?,"Nepal Telecom is organised into several key departments: Network Department — manages all telecom infrastructure, towers, and fibre. IT Department — manages billing systems, IT infrastructure, and digital services. Finance Department — handles accounting, billing, and financial reporting. Human Resources Department — manages staff recruitment, training, and administration. Customer Service Department — handles customer complaints, support, and service centres. Corporate Planning Department — strategic planning and regulatory affairs. International Department — manages international connectivity and roaming agreements. Legal Department — legal compliance, contracts, and regulatory matters.",,
https://www.ntc.net.np/about-us,About Nepal Telecom,Nepal Telecom in Brief,faq,How many subscribers does Nepal Telecom have? What is the size of NTC?,"Nepal Telecom is the largest telecom operator in Nepal by subscriber base. Approximate figures: GSM (Namaste) subscribers: over 20 million. CDMA (Skyphone) subscribers: over 1 million. Fixed line (PSTN) subscribers: over 800,000. FTTH internet subscribers: over 500,000 and growing. Total staff: approximately 5,000+ employees. NTC serves both individual and corporate customers across all 77 districts of Nepal. (Exact figures change — verify at ntc.net.np for latest annual report figures.)",,
https://www.ntc.net.np/about-us,About Nepal Telecom,Competitors,faq,Who are the competitors of Nepal Telecom? What other telecom companies operate in Nepal?,"The main telecom operators in Nepal are: 1) Nepal Telecom (NT/NTC) — government-owned, largest operator. 2) Ncell (formerly Mero Mobile) — privately owned, second-largest GSM operator. Other ISPs providing internet: Subisu, Worldlink, Vianet, ClassicTech, and many regional ISPs. Nepal Telecom competes mainly with Ncell in mobile services and with private ISPs in internet/broadband.",,
https://www.ntc.net.np/notices/international-outgoing-sms,International SMS - Nepal Telecom,International Outgoing SMS,faq,How do I send international SMS from Nepal Telecom? What is the international SMS rate for NTC?,Nepal Telecom allows sending international SMS from Namaste GSM SIM. Rate: approximately Rs. 5 per international SMS. To send: type your message and send to the international number in format +[country code][number]. Example: to send to India +91XXXXXXXXXX. International SMS service may need to be activated — call 1498 if not working.,,
https://www.ntc.net.np/services,Services - Nepal Telecom,All Services,faq,What services does Nepal Telecom provide? List all NTC services.,"Nepal Telecom provides the following services: Mobile Services: GSM Namaste (prepaid/postpaid), CDMA Skyphone, 2G/3G/4G data, VoLTE, VoWiFi, eSIM. Fixed Line: PSTN landline telephone service. Broadband Internet: ADSL (over telephone line), FTTH Fiber optic (high-speed). International Services: international calling (1424/1425/1445), international roaming, international SMS. Value-Added Services: Hello Tune, Missed Call Alert, Voicemail, TikTok Pack, Group SMS, Audio Notice Board. Corporate Services: leased lines, VPN, bulk SMS, dedicated internet, MPLS. Television: NTTV (IPTV/cable TV with FTTH). Email: NT Mail (webmail.ntc.net.np). eSIM: digital SIM activation at esim.ntc.net.np.",,
https://www.ntc.net.np/post/winter-offer-2082,Winter Offer 2082 - Nepal Telecom,Winter Offer,faq,What is the latest offer from Nepal Telecom? What is the NTC winter offer 2082?,"Nepal Telecom regularly introduces seasonal and promotional offers. The Winter Offer 2082 (2025-2026) provides discounts on data packs, extra bonus data, and special combo packs for GSM Namaste subscribers during the winter season. Typical offer features: bonus data on recharge, discounted monthly packs, free SMS bundles with data packs. For exact offer details and validity: visit ntc.net.np/post/winter-offer-2082 or dial *1415# to see current promotions.",,
https://www.ntc.net.np/,Nepal Telecom,Online Recharge Portal,faq,What is the NTC online recharge portal? What services can be recharged online?,"Nepal Telecom's online recharge portal is at ntc.net.np/recharge. Services available for online recharge: GSM Namaste prepaid mobile, CDMA Skyphone prepaid, PSTN landline, FTTH internet. Payment methods: credit card, debit card, mobile banking, internet banking. You can also recharge another person's NTC number using this portal.",,
https://pinrecovery.ntc.net.np/,PIN Recovery - Nepal Telecom,Recharge PIN Recovery,faq,How do I recover a lost NTC recharge card PIN? What is NTC PIN recovery?,"If you lose or damage a Nepal Telecom recharge scratch card and cannot read the PIN, you can recover it at pinrecovery.ntc.net.np. Enter the card serial number (printed on the card) and your mobile number to retrieve the PIN. This service is free of charge.",,
https://www.ntc.net.np/,NT,General,paragraph,What information is available on NT?,EN English नेपाली Self Care Register Login Change Password Change Password,EN English नेपाली Self Care Register Login Change Password Change Password,"eSIM: https://esim.ntc.net.np | Career: https://www.ntc.net.np/post/new-career | Offers: https://www.ntc.net.np/post/summer-package | Offers: https://offer.ntc.net.np/ | Email: https://webmail.ntc.net.np/ | Click here for details: https://www.ntc.net.np/post/tiktok-pack | Know more: https://www.ntc.net.np/post/vowifi | Click to Watch Video: https://cms.ntc.net.np/storage/media/0KNgj0RenoZWNAJNcgqaOAuzTcD1NTL7OzluiqeH.mp4 | read more: https://www.ntc.net.np/tariff/ftth-tariff | read more: https://www.ntc.net.np/services/international-roaming | read more: https://groupsms.ntc.net.np/ | read more: https://www.ntc.net.np/post/audio-notice-board-service | Online Recharge: https://www.ntc.net.np/recharge | Recharge PIN Recovery: https://pinrecovery.ntc.net.np/ | Online GSM, PSTN, CDMA & LEASE LINE Bill: https://gsmbl.ntc.net.np | Career: https://www.ntc.net.np/post/new-career | eSIM: https://esim.ntc.net.np | Retirement Notice Portal: https://www.ntc.net.np/post/retirement-main-portal"
https://www.ntc.net.np/,NT,International Roaming,paragraph,What is the information about 'International Roaming' from NT?,SUBSCRIBE !!! Audio Notice Board Service,SUBSCRIBE !!! Audio Notice Board Service,"eSIM: https://esim.ntc.net.np | Career: https://www.ntc.net.np/post/new-career | Offers: https://www.ntc.net.np/post/summer-package | Offers: https://offer.ntc.net.np/ | Email: https://webmail.ntc.net.np/ | Click here for details: https://www.ntc.net.np/post/tiktok-pack | Know more: https://www.ntc.net.np/post/vowifi | Click to Watch Video: https://cms.ntc.net.np/storage/media/0KNgj0RenoZWNAJNcgqaOAuzTcD1NTL7OzluiqeH.mp4 | read more: https://www.ntc.net.np/tariff/ftth-tariff | read more: https://www.ntc.net.np/services/international-roaming | read more: https://groupsms.ntc.net.np/ | read more: https://www.ntc.net.np/post/audio-notice-board-service | Online Recharge: https://www.ntc.net.np/recharge | Recharge PIN Recovery: https://pinrecovery.ntc.net.np/ | Online GSM, PSTN, CDMA & LEASE LINE Bill: https://gsmbl.ntc.net.np | Career: https://www.ntc.net.np/post/new-career | eSIM: https://esim.ntc.net.np | Retirement Notice Portal: https://www.ntc.net.np/post/retirement-main-portal"
https://www.ntc.net.np/,NT,Self Care Account,paragraph,What is the information about 'Self Care Account' from NT?,Dont' have an account? Register Balance Transfer,Dont' have an account? Register Balance Transfer,"eSIM: https://esim.ntc.net.np | Career: https://www.ntc.net.np/post/new-career | Offers: https://www.ntc.net.np/post/summer-package | Offers: https://offer.ntc.net.np/ | Email: https://webmail.ntc.net.np/ | Click here for details: https://www.ntc.net.np/post/tiktok-pack | Know more: https://www.ntc.net.np/post/vowifi | Click to Watch Video: https://cms.ntc.net.np/storage/media/0KNgj0RenoZWNAJNcgqaOAuzTcD1NTL7OzluiqeH.mp4 | read more: https://www.ntc.net.np/tariff/ftth-tariff | read more: https://www.ntc.net.np/services/international-roaming | read more: https://groupsms.ntc.net.np/ | read more: https://www.ntc.net.np/post/audio-notice-board-service | Online Recharge: https://www.ntc.net.np/recharge | Recharge PIN Recovery: https://pinrecovery.ntc.net.np/ | Online GSM, PSTN, CDMA & LEASE LINE Bill: https://gsmbl.ntc.net.np | Career: https://www.ntc.net.np/post/new-career | eSIM: https://esim.ntc.net.np | Retirement Notice Portal: https://www.ntc.net.np/post/retirement-main-portal"
