Question,Answer
"Do I need to activate a separate/special pack for VoLTE service?","No. The existing plan will support the VoLTE services."
"Is there any promotional offer for VoLTE?","Yes, once VoLTE is enabled, you can dial *111# or Dial 1444 to get 100 minutes FREE VoLTE voice calls valid for 28 days."
"Will VoLTE calls consume data too?","No. VoLTE calls will not consume any data. It will be charged as per your normal calls."
"What is VoLTE?","VoLTE (Voice over LTE) is an advanced technology that delivers high-quality life-like sound over voice calls (HD Voice Quality calls) across the NT 4G Network. With VoLTE we can experience ultra-clear voice quality with reduced background noise. Conversations will sound more natural, almost as if the person at the other end of the phone call is right next to you. Also, with VoLTE, you can surf at 4G speeds even while being on a phone call."
"नेपाल टेलिकमको Recurring Offer भनेको के हो?","Recurring Offer भनेको स्वतः नवीकरण हुने अफर हो। यसमा तपाईंले हरेक महिना म्यानुअलरूपमा प्याकेज किन्ने झन्झट गर्नुपर्दैन। सिस्टमले हरेक अङ्ग्रेजी महिनाको १५ तारिखमा तपाईंको प्याकेज स्वतः नवीकरण गर्छ। उदाहरण: यदि तपाईंले GSM Postpaid Sajilo Unlimited 999 Recurring Offer Subscribe गर्नुभयो भने, प्रत्येक अङ्ग्रेजी महिनाको 15 तारिखमा त्यही अफर स्वचालित रूपमा नवीकरण हुन्छ।"
"नेपाल टेलिकमको Recurring Offer कसका लागि उपलब्ध छ?","नेपाल टेलिकमको Recurring Offer हालका लागि Individual GSM Postpaid ग्राहकका लागि मात्र उपलब्ध छ। रु. 699 देखि रु.1999 सम्मका GSM Postpaid Sajilo Unlimited Offer मा यो सेवा लागु गर्न सकिन्छ।"
"पहिलोपटक Recurring Offer लिँदा रकम कसरी काटिन्छ?","जुन मितिमा पहिलोपटक Recurring Offer Subscribe गरिन्छ, सो दिनदेखि Bill Run हुने मिति (अङ्ग्रेजी महिनाको १५ तारिख) सम्म जतिदिन हुन्छ, त्यतिदिनको बिलको रकम काटिन्छ, जसलाई Pro-rate Billing भनिन्छ। अर्को महिनाको १५ तारिखदेखि मात्र पूरा मासिक शुल्क काटिन्छ। उदाहरण: यदि तपाईंले कुनै महिनाको 25 तारिखमा Recurring Offer Subscribe गर्नुभयो भने, 25 तारिखदेखि पछि आउने अङ्ग्रेजी महिनाको 15 तारिखसम्म हुने 20-21 दिनको रकम काटिन्छ।"
"मैले अहिले एउटा प्याकेज Subscribe गरेको छु। अब Recurring Offer लिँदा के हुन्छ?","कुनै समस्या हुँदैन। साविकको प्याकेज र नयाँ Recurring Offer दुवैको प्याकेज प्रयोगमा आएको वा आउने दिनका हिसाबले Pro-rate Billing गरिन्छ। अङ्ग्रेजी महिनाको 15 तारिखपछि Recurring Offer स्वतः सुरु हुन्छ।"
"Recurring Offer प्रयोगमा हुँदा अरु Offer लिन मिल्छ?","Recurring Offer प्रयोगमा हुँदा पनि Normal Data र SMS Pack थप लिन सकिन्छ। GSM Postpaid Sajilo Unlimited Recurring Offer मा नै Unlimited Voice रिसोर्सेस हुने भएकाले थप Voice Pack लिनु आवश्यक हुदैन।"
"एकै समयमा कति वटा Recurring Offer लिन मिल्छ?","एउटै नम्बरबाट एक पटकमा एक मात्र Recurring Offer Active हुन सक्छ। यदि तपाईंले अर्को Recurring Offer Subscribe गर्नुभयो भने त्यो अफर Pending अवस्थामा रहन्छ र अर्को नवीकरण मितिपछि मात्र Active हुन्छ। उदाहरण: तपाईंले अहिले 699 Recurring चलाइरहनुभएको छ भने, 799 Recurring Offer लिँदा त्यो अफर Pending हुन्छ र अर्को महिनाको 15 तारिखमा मात्र लागु हुन्छ।"
"के Pending Offer Cancel गर्न मिल्छ?","मिल्दैन। Pending Offer स्वतः Bill Run (अङ्ग्रेजी महिनाको 15 तारिख) पछि मात्र Active हुन्छ। त्यसअघि Cancel वा Replace गर्न सकिँदैन।"
"Recurring Offer कसरी subscribe गर्ने?","USSD Code बाट *1415*2*4# डायल गरेर आफ्नो आवश्यकता अनुसारका प्याकेज चयन गर्न सकिन्छ।"
"Recurring बाट Deactivate गर्न मिल्छ? कसरी गर्ने?","हो, मिल्छ। Deactivate गर्नका लागि *1415*2*4# डायल गरेर GSM Postpaid Offer 300 (Normal) Offer Subscribe गर्नु पर्ने हुन्छ।"
"Recurring Offer को स्थिति कसरी थाहा पाउने?","*1415*55# डायल गरेर वा 1498 मा कल गरेर आफ्नो Active Offer को बारेमा थाहा पाउन सकिन्छ।"
"यदि Recurring नवीकरणका बेला मेरो Credit Limit कम भयो भने के हुन्छ?","यदि Credit Limit पर्याप्त छैन भने स्वत: नवीकरण रोकिन्छ र तपाईंको नम्बर Incoming मात्र (Bar Mode) हुन्छ। यस अवस्थामा तपाईंको नम्बरमा अन्य नम्बरबाट कल र एसएमएस आउने तर तपाईंको नम्बरबाट Outgoing Call, SMS र इन्टरनेट सेवा नचल्ने भै सेवा एकतर्फी (Oneway) हुन जान्छ।"
"Recurring Offer का लागि Remaining credit limit कम भएको अवस्थामा Normal Data वा SMS Offer त लिन मिल्छ होला नि?","त्यो अवस्थामा मिल्दैन। एक पटक नम्बर ""Bar"" मोडमा पुगेपछि कुनै नयाँ Offer लिन वा नवीकरण गर्न सकिँदैन। पहिले Credit Clear गर्नुपर्छ, त्यसपछि सेवा पुनः Active हुन्छ।"
"Recurring Offer कुन मितिमा स्वत: नवीकरण हुन्छ?","हरेक अङ्ग्रेजी महिनाको 15 तारिखमा Recurring Offer नवीकरण हुन्छ। नवीकरण सुचारु हुनका लागि तपाईंको Credit Limit पर्याप्त हुनुपर्छ।"
"How do I get the Mobile App for my phone?","Simply look for our name ""Nepal Telecom"" in the Android Playstore or iOS App Store. You can also find this in Nepal Telecom website."
"Do I have to buy the Mobile App?","No. Our Mobile App is completely free to download and install."
"What Permissions are required while installing the APP?","You will be asked to allow permission for phone number, contacts and location access while installing the APP. For more information, please refer to ""Privacy Policy"" in Nepal Telecom website."
"How to use this app if I am a new user?","After you install the app, open the app and register using ""Register"" option at the bottom of the app screen. While you register into the mobile app, you have to input your name, email, mobile number and password along with other information."
"What information do I have to input to login into the mobile App?","Use your mobile number and password that you have set while registering into the app."
"Is there any Data Charge while using the APP?","The data charge is FREE while using the app, however, downloading the application via mobile data will apply standard data charge."
"What features does the Mobile APP have?","You can Buy Packs, Recharge your or others number, Transfer Balance, Gift Packages to your family and friends, Pay Bills of different services, check your Usage History, view Subscribed Packages, check Remaining Resource and validity, know Tariff of different services along with many other Services."
"Can I buy Nepal Telecom packages from Mobile APP?","Yes! You can buy all latest offers and packages from the mobile app quite easily and see all the packages remaining volume, validity in graphical display."
"Can I Pay bills of different telecom services?","Yes! You can pay bills of various Nepal Telecom services. Go to ""Bill Payment"" section and select the service to pay the bills."
"What is F&F service?","This is Friends & Family Service using which you can make a very subsidized rate call to any 5 (Five) Nepal Telecom numbers. To use this, First Subscribe to FNF service and Add FNF numbers that you desire."
"Can I Gift Nepal Telecom Packages to my Friends and Family from Mobile APP?","Yes! You can gift available NT packages listed under ""Gift Packs"" section. For this, select the package under ""Gift Packs"" section and input Mobile Number to send the gift."
"Can I Recharge other Nepal Telecom numbers from Mobile APP?","Yes! You can recharge your or another mobile number using ""Recharge Now"" option in the APP."
"Can I activate 4G/LTE service in my SIM card from Mobile APP?","Yes! You can activate 4G/LTE service from ""Utilities"" option in the mobile APP. Select ""Enable 4G"" menu to activate 4G/LTE in your SIM."
"Can I transfer Balance from my Mobile Using Mobile APP?","Yes! You can transfer balance from your prepaid mobile to any other NT mobile using ""Transfer Balance"" option."
"Can I subscribe to different Value-Added Services from Mobile APP?","Yes! You can do this from ""VAS"" Section inside the mobile APP."
"Is the Mobile APP secure?","Yes! It is secure and critical information is managed and stored securely."
"What is Call Wait feature?","Call waiting feature informs customer about incoming call even if the customer is busy talking with another customer."
"How to activate/deactivate Call Wait feature?","Option to activate/deactivate call wait feature is normally present inside ""Call Setting"" menu of the phone. Or you can activate dialing *43#. Deactivate Using #43#. Check Call waiting status using code *#43#."
"Need to pay for Call Wait?","No need to pay. It is free for Nepal Telecom subscriber."
"What is Call Hold feature?","Call hold feature allows customer to place an active call on hold and initiate another call or answer an incoming call."
"How to Activate/De-activate Call hold feature?","Nepal Telecom have already provisioned this feature for all its valued customer."
"Need to pay for Call hold?","No need to pay. It is free for all Nepal Telecom subscriber."
"What is Call forwarding?","Call forwarding allows you to forward your incoming calls to another phone number."
"What are the Types of Call Forwarding?","a. Unconditional Call Forwarding (dial **21*Number# to activate) - Forwards all of your incoming call to another phone number. b. Call Forwarding when busy (Dial **67*Number# to activate) - Forwards an incoming call when you are busy with another call. c. Call forwarding when no reply (**61*Number# to activate) - Forwards the call when you did not answer an incoming call. d. Call forwarding when not reachable (**62*Number# to activate) - Forwards the call when your phone is out of network coverage or phone is switched off."
"How to Activate/De-activate Call Forwarding?","Option to activate/deactivate is normally present inside ""Call Setting"" menu. a. Unconditional Call Forwarding: dial **21*Number# to activate, ##21# to deactivate. b. Call Forwarding when busy: Dial **67*Number# to activate, ##67# to deactivate. c. Call forwarding when no reply: dial **61*Number# to activate, ##61# to deactivate. d. Call forwarding when not reachable: dial **62*Number# to activate, ##62# to deactivate."
"Need to pay for Call forwarding feature?","If A-number is making call to B-number and B-number forwards call to C-number then A-number pays as if it is calling B-number and B-number needs to pay as if it is calling C-number."
"Any limitation to Call forwarding feature?","Calls can only be forwarded to NT Network (PSTN/GSM/CDMA). Call forwarding when busy and call Wait feature cannot be simultaneously active. If you have NTPro, then you already have set call forwarding when not reachable to NTpro platform; if you again set unreachable forwarding to another number, your NTpro incoming will not work."
"What is Namaste Prepaid Roaming service?","It is a facility to use your Namaste Prepaid Mobile number in other countries. If you subscribe this service and travel abroad, you can make and receive calls as well as send and receive SMS as if you are in the home country, using your Namaste Prepaid Number (SIM)."
"How can I activate Namaste Prepaid Roaming Service?","You don't need to visit NT counters to subscribe this service. Just dial *1415*7# from your prepaid mobile and choose the option in the list to subscribe Prepaid Roaming Service. You can also subscribe this service via ""Nepal Telecom"" app."
"Is the activation/deactivation of Prepaid Roaming Service free of cost?","Yes, the activation/deactivation of Prepaid Roaming Service is completely free of cost."
"How can I subscribe the Prepaid Roaming Service from ""Nepal Telecom"" mobile app?","Follow these steps: a. Download and activate ""Nepal Telecom"" mobile app while you are in Nepal. b. Go to Wifi Zone or switch on mobile data. c. Click ""Buy packs"". d. Choose ""International Services"". e. Choose ""Prepaid Roaming"". f. Choose ""Activate"". g. Again click ""Buy packs"". h. Click ""Ok""."
"Should I register ""Nepal Telecom"" mobile app before I go abroad?","Yes. You can't receive OTP code to activate app without latching to any network, so we strongly suggest you to activate app in Nepal."
"Can I subscribe Prepaid Roaming Service from abroad?","Yes, but you should have registered ""Nepal Telecom"" app in your mobile and you should be in WiFi zone."
"What is the tariff for Namaste Prepaid Roaming Service?","Please visit the link: https://www.ntc.net.np/pages/view/roaming-tariff-prepaid to know detail information on tariff in different countries."
"How can I recharge the service while I am in roaming?","There are different ways: a) If you have Nepal Telecom recharge PIN, you can simply use USSD as you do in Nepal. b) You can use online service like e-Sewa, Khalti, Online Banking etc., to recharge from the country you are visiting. c) Your relatives can recharge your mobile in Nepal by any method while you are travelling abroad."
"Can I use my subscribed packages (Voice, data and SMS) while I am in roaming?","No, while you are in roaming you can't use the package subscribed to use within Nepal."
"How can I make local calls while I am in roaming?","You can dial direct phone number or phone number with correct country code. For example, if you are visiting India, you can dial direct Indian phone number or dial with +91 to make call within India (e.g. +91XXXXXXXXXX). Similarly, if you are visiting China, you can dial direct Chinese phone number or dial with +86 (e.g. +86XXXXXXXXXX)."
"How can I make call to Nepal while I am in roaming?","You have to dial correct phone number with country code of Nepal. Example: 00(or +) 97798XXXXXXXX to call to mobile number. Similarly, 00(or +)977-XX(area code)-XXXXXXX to call to a PSTN (landline) number."
"How can I make call to other countries while I am in roaming?","You have to dial correct phone number with country code of the country you would like to call. Example: If you are visiting India and would like to call to a number in China, then you have to dial: 00(or +) 86 (Phone number of China with area code)."
"How can I send SMS while I am in roaming?","You have to put correct mobile number with country code after you write text to send SMS. Example: send SMS to +97798XXXXXXXX."
"Where can I use my Namaste Prepaid mobile?","You can use Namaste Prepaid mobile in the countries where Nepal Telecom has international roaming agreement with at least one mobile phone operator in that country."
"Is there any prepaid roaming package available to purchase?","Currently there is no special package available for roaming service. However, a roaming service package will be launched soon for Prepaid Roaming customers."
"What will happen if I do not have enough balance while roaming?","The roaming customers are expected to have minimum balance to make and receive calls as well as to send SMS. However, you may receive SMS even if you don't have enough balance."
"What are the requirements to subscribe Namaste Prepaid Roaming?","There is no special requirement to subscribe Namaste Prepaid Roaming. You just have to activate service either from USSD code or from Nepal Telecom App and shall have sufficient balance to use roaming facility."
"Where shall I contact to inquire and lodge complaints while roaming?","Please send an email to roaming.support@ntc.net.np for any inquiry and complaint."
"How can I deactivate Prepaid Roaming Service?","Please dial *1415*7# and select the option to deactivate Prepaid Roaming Service."
"How can I query balance while I am in roaming?","Balance query is allowed even when you are in roaming. You can use normal procedure as you do in Nepal. Example: dial *400#"
"Is it possible to recharge the balance from online Media like e-sewa, bank account, Khalti, etc?","Yes, you can do if you have internet connectivity and sufficient balance in your online wallet."
"Where can I use Namaste Prepaid Roaming currently?","Currently, Namaste Prepaid Roaming Service is available in India, China, UAE, Thailand, Malaysia & Australia. Soon the service will be expanded to other countries of the world also."
"Should I deactivate the international roaming Service after I return back to Nepal from abroad?","We suggest you to deactivate international roaming service when you return back to Nepal."
"How Can I latch to foreign Network if it is not happened automatically?","Normally your mobile latches to foreign network automatically if your roaming service is active. In case it does not happen automatically, you have to do it manually. Manual latching process is different for different mobile sets. Normally, go to ""Setting"", go to ""Mobile networks"", search the ""Networks"" then select the network."
"What is International Data Roaming Service?","International Data Roaming Service is a facility to browse internet in your mobile phone with Nepal Telecom SIM Card while you are roaming in other countries."
"How can I activate Data Roaming Service?","Data Roaming Service is automatically activated when you subscribe international roaming facility in your mobile."
"How can I use data service while I am in roaming?","You have to enable data roaming facility in your mobile phone. For iPhone: a) Latch on to the Visited Network, b) Enable mobile data, c) Go to Settings, d) Go to Cellular, e) Select On for cellular data, f) Select On for data roaming. For Android: a) Latch on to the Visited Network, b) Enable mobile data, c) Go to Settings, d) Go to Mobile networks, e) Go to Data roaming, f) Select On for data roaming."
"Does activation of Data Roaming service incur any fees?","There is no extra fee for activation of data roaming service. Data roaming service is activated by default when you subscribe international roaming facility in your mobile."
"What is the tariff of Data Roaming service?","Please click the link https://www.ntc.net.np/post/international-roaming for the detail information of tariff and related information."
"Where can I use Data Roaming service?","Currently, International data roaming facility is available in 14 countries for postpaid customers whereas in India and China for prepaid customers."
"Where shall I contact to inquire and lodge complaints regarding data roaming?","Please contact ""1498"" or send an email to roaming.support@ntc.net.np for all kinds of inquiries and complaints regarding NT's data roaming service."
"What is 4G/LTE?","LTE stands for ""Long Term Evolution"". It is the next generation of wireless data technology after 3G, commonly referred as 4G."
"What are the benefits of upgrading to 4G/LTE?","It provides you path breaking mobile internet experience, buffer-free streaming and amazingly clear videos. It enables you to enjoy bandwidth intensive contents such as videos/music streaming, cloud services and alike."
"What are the factors affecting 4G/LTE speed?","The actual speed depends on various factors like: Device used and phone capacity to get maximum speed; 4G/LTE network coverage; Distance between user and base station; Nature of built-up area; Number of data/internet users at a time (traffic over the internet); 4G/LTE technology adopted."
"What are the requirements for getting 4G/LTE service?","You will require a 4G/LTE handset, 4G/LTE compatible SIM & should be present in a 4G/LTE network coverage area. You will not be latched onto 4G/LTE network in absence of any of these requirements."
"How will I know if my handset is ready for 4G/LTE?","Please check the network setting of your handset and look for available network it supports. Besides 2G and 3G (WCDMA) there must be an option showing 4G/LTE."
"If I put a 4G/LTE SIM on my 3G handset, will it work?","The SIM will work as a normal 3G SIM; you will not be latched onto 4G/LTE network."
"How will I know that I am connected to 4G/LTE network?","You will see 'LTE' or '4G', depending upon phone models, next to the signal bars at the top of your screen."
"Will my device always stay connected to 4G/LTE network?","No, you will not always be connected to 4G/LTE as this depends on your location and 4G/LTE coverage/signal strength available to you. You might notice that your device is switching between 2G, 3G and 4G/LTE as you move around."
"How do I turn on 4G/LTE on my handset?","Please go to network setting on your handset and select 4G/LTE under network type."
"How do I switch back to 3G/2G?","Please go to your handset's network setting and select 3G/2G."
"What is the 4G technology which Nepal Telecom is using?","NT is currently operating 4G LTE technology on 800MHz (Band 20) and 1800MHz (Band 3). Please ensure that your handset supports these two bands to experience the best speed and coverage. For reference visit https://www.ntc.net.np/nt-4g-lte-bands"
"In which area Nepal Telecom has 4G/LTE coverage as of now?","Currently, we have 4G/LTE coverage in all 77 districts of the country."
"Is Nepal Telecom's 4G/LTE for Postpaid or Prepaid?","4G/LTE service is for both GSM Prepaid and Postpaid customers."
"How do I know if my NT SIM is 4G/LTE compatible?","Dial *444# to check the SIM and activate 4G/LTE service."
"If I am already Nepal Telecom's mobile subscriber, how can I activate 4G/LTE Service?","If you have 4G/LTE compatible SIM, simply dial *444# for service activation. If you are still in possession of 2G/3G SIM, you must get 4G/LTE compatible SIM."
"How do I get NT's 4G/LTE compatible SIM?","You can visit any of the Nepal Telecom offices located at: Hattigauda, Gongabu, Chhauni, Babarmahal, Chabahil, Sundhara, Jawalakhel, Sajha Bhawan, Thimi and Bhaktapur in Kathmandu Valley and Mahendrapul in Pokhara to get NT's 4G/LTE compatible SIM."
"How much do I have to pay to get NT's 4G/LTE compatible SIM?","You can exchange your NT's 2G/3G SIM for NT's 4G/LTE compatible SIM following the regular SIM replacement process."
"What is the service activation fee for 4G/LTE?","Service activation is free of charge."
"How can a new customer subscribe to Nepal Telecom's 4G/LTE service?","Please follow the regular process of service subscription and you will be provided with a 4G/LTE compatible SIM and follow the activation procedure as mentioned above. Before using NT's 4G/LTE service please ensure that your handset is 4G/LTE compatible."
"How will I know if my handset is ready for Nepal Telecom's 4G/LTE network?","For your handset to operate on Nepal Telecom's 4G/LTE network, your handset should support LTE 800MHz (Band 20) and 1800 MHz (Band 3). Please check specifications of your handset. For reference visit https://www.ntc.net.np/nt-4g-lte-bands"
"In order to use Nepal Telecom's 4G/LTE service must there be special APN configuration?","Same commercial APN viz. ntnet or ntwap has to be provided for APN configuration in your handset."
"I brought 4G/LTE smartphone from overseas. Does it still work on Nepal Telecom's 4G/LTE network?","Please check your phone specification to ensure that your device operates on LTE 1800 MHz (B3) and LTE 800MHz (B20) band. You may check it on: https://www.ntc.net.np/nt-4g-lte-bands"
"Does Nepal Telecom's 4G/LTE service cost more than 3G/2G service?","No, the normal tariff for 4G data is same as 3G or 2G data service. Nepal Telecom frequently brings attractive data packages to our valued customers time and again. Please visit Nepal Telecom's website for updates."
"What will happen to my existing data package after I upgrade to 4G/LTE service?","You can continue to enjoy your existing data package in all available Nepal Telecom's GSM network."
"What is the upload and download speeds that I can get with NT 4G/LTE?","With NT 4G/LTE service your data experience will go to another level by providing you with the fastest mobile data connection. At this moment Nepal Telecom's 4G/LTE service provides you with a speed up to 5x faster than its current 3G service."
"What will happen if I move into an area with no 4G/LTE coverage?","In areas where 4G/LTE has not been deployed, you will be seamlessly switched to Nepal Telecom's 3G/2G connectivity."
"Can I make a voice call and SMS when I am latched to 4G/LTE network?","Yes, you can make normal voice call and SMS even if you are latched to 4G/LTE network."
"Where do I complain regarding 4G/LTE service of NT?","You can call our customer care center number 1498 for any queries regarding our 4G/LTE service."
"How to activate Namaste Credit?","Please Type START and Send SMS to 1477."
"Is there any additional cost or service charge for the use of Namaste Credit service?","It is totally FREE. On next top up you just need to pay the used credit. Nothing extra!"
"How can I know that I am activated to use NAMASTE CREDIT facility?","Please type STATUS and send SMS to 1477 to know your status."
"How can I deactivate Namaste Credit service?","Please type STOP and send SMS to 1477. The service will deduct the remaining credit if any and send you a confirmation message."
"How can I reactivate NAMASTE CREDIT service?","If you again want to use NAMASTE CREDIT facility, please type START and send SMS to 1477."
"How do I know my maximum Credit Limit for Namaste Credit?","Please type STATUS and send SMS to 1477 while you are using Namaste Credit. You will get available balance and the amount of debt. The sum of available balance and amount of debt is the maximum Credit Limit. The amount of Namaste Credit is determined by how loyal you are to Nepal Telecom i.e. how frequently you use Nepal Telecom mobile service and how long you are connected to NT network."
"How do I know my remaining Credit Balance for Namaste Credit?","Please type STATUS and send SMS to 1477."
"How do I know my credit debt which I had used with Namaste Credit?","Please type STATUS and send SMS to 1477."
"How long is Namaste Credit service available?","It doesn't have any validity."
"Is Namaste Credit service only for 4G users?","No. It is for all Nepal Telecom prepaid users (GSM and CDMA)."
"Why did I receive a message indicating that I have a credit limit for Namaste Credit?","If you received the message: ""Congratulations, now you have Rs X.XX credit of NAMASTE CREDIT. No calldrop and no service charge, enjoy!"" - It means that you have just been selected for Namaste Credit. Therefore, you have Rs X.XX to use after you exhausted the available balance in your mobile."
"Why did I receive a message reporting a charge due to NAMASTE CREDIT?","If you received the message: ""We have deducted Rs XX.XX from your main balance against NAMASTE CREDIT"" - It means you have unpaid Namaste Credit and which the service has recovered from the topped-up amount."
"For what purpose the Namaste Credit can be used?","Namaste Credit can be used for calls, SMS and Data use."
"Can I transfer my Namaste Credit to someone else?","Namaste Credit cannot be transferred."
"Why is my credit limit different from my friend/another subscriber for Namaste Credit?","Each user is assigned a credit value based on their loyalty to Nepal Telecom. The more you use Nepal Telecom mobile service, the more credit you get."
"Why don't I have Namaste Credit, but my friend/another subscriber has credit?","Namaste Credit service is rolled out to all the Nepal Telecom's prepaid subscribers phase-wise. It will be available to you very soon. Please stay connected to NT network."
"How can I increase my Namaste Credit limit?","To increase the credit limit, you have to increase your loyalty to Nepal Telecom, which means you have to use more of Nepal Telecom mobile services."
"How is SIP PBX connected to end customer?","SIP PBX service is given via intranet service of Nepal Telecom. Service is connected to end customer via fiber link through the nearest node of Nepal Telecom."
"I don't want to connect via intranet; can I get SIP PBX service via internet?","No, Nepal Telecom doesn't provide SIP PBX service via internet, dedicated fiber connection between customer end and Nepal Telecom's is required."
"What if the fiber link for SIP PBX breaks?","If fiber link breaks SIP PBX service will be down. Redundant fiber link can be provided upon customer request. Nominal charge will be added for the facility of redundant link. Auto Call forwarding features can be added upon customer's request if SIP PBX service is down; customer should provide their forwarding number (only Nepal Telecom numbers)."
"Can I get SIP PBX service outside Kathmandu Valley?","Yes, Nepal Telecom's SIP PBX service can be provided in all 77 districts upon customer's request."
"What is the number format for NT SIP PBX service?","Number format for SIP PBX service is 01-5970XXX (for Kathmandu) and Area Code – 5970XX (Outside Kathmandu Valley)."
"Where should I contact to get the SIP PBX service?","You could contact nearest telecom office to get the service. If you have any query regarding the SIP PBX service you contact at: 01-5321244 (Telecom Sundhara)."
"Will telecom provide the SIP PBX and all Customer-Premises Equipment required for service?","No, Telecom will only provide the service and fiber connection to end customer. Customer need to buy the SIP PBX hardware required for them."
